id,Var.1,week,cases,year,mxtemp,mntemp,rain,soilmstre,relhum,mntemp_lag0,mntemp_lag1,mntemp_lag2,mntemp_lag3,mntemp_lag4,mntemp_lag5,mntemp_lag6,mntemp_lag7,mntemp_lag8,mntemp_lag9,rain_lag0,rain_lag1,rain_lag2,rain_lag3,rain_lag4,rain_lag5,rain_lag6,rain_lag7,rain_lag8,rain_lag9,mxtemp_lag0,mxtemp_lag1,mxtemp_lag2,mxtemp_lag3,mxtemp_lag4,mxtemp_lag5,mxtemp_lag6,mxtemp_lag7,mxtemp_lag8,mxtemp_lag9,soil_mstre_lag0,soil_mstre_lag1,soil_mstre_lag2,soil_mstre_lag3,soil_mstre_lag4,soil_mstre_lag5,soil_mstre_lag6,soil_mstre_lag7,soil_mstre_lag8,soil_mstre_lag9,rel_hum_lag0,rel_hum_lag1,rel_hum_lag2,rel_hum_lag3,rel_hum_lag4,rel_hum_lag5,rel_hum_lag6,rel_hum_lag7,rel_hum_lag8,rel_hum_lag9
11,X2010.10,11,0,2010,33.76230511,16.50976671,0,13.86177219,33.81622623,16.50976671,15.02000264,15.22363179,11.74064505,11.71017241,11.53740177,9.244679876,7.298401992,7.120475785,7.235333468,0,0.265,0,1.216764706,3.712352941,12.54529412,0,0,0,4.766176471,33.76230511,30.56105265,31.51545255,27.53634474,24.34725698,25.48754076,24.95571962,22.10127624,17.15504862,16.73657369,13.86177219,14.95690747,15.25399733,17.01993905,28.99254923,24.92680933,23.80777897,28.16344415,30.69943691,32.85699921,33.81622623,36.05461148,42.30304445,51.9003856,58.11745308,59.1436347,50.73392415,68.10772297,76.5210618,77.07603409
12,X2010.11,12,0,2010,37.62383653,19.42479269,0,13.12491123,23.93655885,19.42479269,16.50976671,15.02000264,15.22363179,11.74064505,11.71017241,11.53740177,9.244679876,7.298401992,7.120475785,0,0,0.265,0,1.216764706,3.712352941,12.54529412,0,0,0,37.62383653,33.76230511,30.56105265,31.51545255,27.53634474,24.34725698,25.48754076,24.95571962,22.10127624,17.15504862,13.12491123,13.86177219,14.95690747,15.25399733,17.01993905,28.99254923,24.92680933,23.80777897,28.16344415,30.69943691,23.93655885,33.81622623,36.05461148,42.30304445,51.9003856,58.11745308,59.1436347,50.73392415,68.10772297,76.5210618
13,X2010.12,13,0,2010,38.5571605,20.75339575,0.001176471,8.151066854,17.35198667,20.75339575,19.42479269,16.50976671,15.02000264,15.22363179,11.74064505,11.71017241,11.53740177,9.244679876,7.298401992,0.001176471,0,0,0.265,0,1.216764706,3.712352941,12.54529412,0,0,38.5571605,37.62383653,33.76230511,30.56105265,31.51545255,27.53634474,24.34725698,25.48754076,24.95571962,22.10127624,8.151066854,13.12491123,13.86177219,14.95690747,15.25399733,17.01993905,28.99254923,24.92680933,23.80777897,28.16344415,17.35198667,23.93655885,33.81622623,36.05461148,42.30304445,51.9003856,58.11745308,59.1436347,50.73392415,68.10772297
14,X2010.13,14,0,2010,39.34974064,20.76337123,0,2.259176957,14.01865841,20.76337123,20.75339575,19.42479269,16.50976671,15.02000264,15.22363179,11.74064505,11.71017241,11.53740177,9.244679876,0,0.001176471,0,0,0.265,0,1.216764706,3.712352941,12.54529412,0,39.34974064,38.5571605,37.62383653,33.76230511,30.56105265,31.51545255,27.53634474,24.34725698,25.48754076,24.95571962,2.259176957,8.151066854,13.12491123,13.86177219,14.95690747,15.25399733,17.01993905,28.99254923,24.92680933,23.80777897,14.01865841,17.35198667,23.93655885,33.81622623,36.05461148,42.30304445,51.9003856,58.11745308,59.1436347,50.73392415
15,X2010.14,15,0,2010,41.44854828,23.0079331,0,1.33354888,14.41157957,23.0079331,20.76337123,20.75339575,19.42479269,16.50976671,15.02000264,15.22363179,11.74064505,11.71017241,11.53740177,0,0,0.001176471,0,0,0.265,0,1.216764706,3.712352941,12.54529412,41.44854828,39.34974064,38.5571605,37.62383653,33.76230511,30.56105265,31.51545255,27.53634474,24.34725698,25.48754076,1.33354888,2.259176957,8.151066854,13.12491123,13.86177219,14.95690747,15.25399733,17.01993905,28.99254923,24.92680933,14.41157957,14.01865841,17.35198667,23.93655885,33.81622623,36.05461148,42.30304445,51.9003856,58.11745308,59.1436347
16,X2010.15,16,0,2010,41.58879443,25.76065972,0.082647059,1.473599472,19.13899588,25.76065972,23.0079331,20.76337123,20.75339575,19.42479269,16.50976671,15.02000264,15.22363179,11.74064505,11.71017241,0.082647059,0,0,0.001176471,0,0,0.265,0,1.216764706,3.712352941,41.58879443,41.44854828,39.34974064,38.5571605,37.62383653,33.76230511,30.56105265,31.51545255,27.53634474,24.34725698,1.473599472,1.33354888,2.259176957,8.151066854,13.12491123,13.86177219,14.95690747,15.25399733,17.01993905,28.99254923,19.13899588,14.41157957,14.01865841,17.35198667,23.93655885,33.81622623,36.05461148,42.30304445,51.9003856,58.11745308
17,X2010.16,17,0,2010,40.62610936,24.30957257,1.028529412,2.416020541,21.69836882,24.30957257,25.76065972,23.0079331,20.76337123,20.75339575,19.42479269,16.50976671,15.02000264,15.22363179,11.74064505,1.028529412,0.082647059,0,0,0.001176471,0,0,0.265,0,1.216764706,40.62610936,41.58879443,41.44854828,39.34974064,38.5571605,37.62383653,33.76230511,30.56105265,31.51545255,27.53634474,2.416020541,1.473599472,1.33354888,2.259176957,8.151066854,13.12491123,13.86177219,14.95690747,15.25399733,17.01993905,21.69836882,19.13899588,14.41157957,14.01865841,17.35198667,23.93655885,33.81622623,36.05461148,42.30304445,51.9003856
18,X2010.17,18,0,2010,38.26881865,25.05022071,5.493235294,6.191026829,33.29660282,25.05022071,24.30957257,25.76065972,23.0079331,20.76337123,20.75339575,19.42479269,16.50976671,15.02000264,15.22363179,5.493235294,1.028529412,0.082647059,0,0,0.001176471,0,0,0.265,0,38.26881865,40.62610936,41.58879443,41.44854828,39.34974064,38.5571605,37.62383653,33.76230511,30.56105265,31.51545255,6.191026829,2.416020541,1.473599472,1.33354888,2.259176957,8.151066854,13.12491123,13.86177219,14.95690747,15.25399733,33.29660282,21.69836882,19.13899588,14.41157957,14.01865841,17.35198667,23.93655885,33.81622623,36.05461148,42.30304445
19,X2010.18,19,0,2010,40.06493708,24.30545842,10.01058824,11.8912966,26.78656432,24.30545842,25.05022071,24.30957257,25.76065972,23.0079331,20.76337123,20.75339575,19.42479269,16.50976671,15.02000264,10.01058824,5.493235294,1.028529412,0.082647059,0,0,0.001176471,0,0,0.265,40.06493708,38.26881865,40.62610936,41.58879443,41.44854828,39.34974064,38.5571605,37.62383653,33.76230511,30.56105265,11.8912966,6.191026829,2.416020541,1.473599472,1.33354888,2.259176957,8.151066854,13.12491123,13.86177219,14.95690747,26.78656432,33.29660282,21.69836882,19.13899588,14.41157957,14.01865841,17.35198667,23.93655885,33.81622623,36.05461148
20,X2010.19,20,0,2010,42.2493249,26.91828252,0.656470588,9.11050206,23.75250432,26.91828252,24.30545842,25.05022071,24.30957257,25.76065972,23.0079331,20.76337123,20.75339575,19.42479269,16.50976671,0.656470588,10.01058824,5.493235294,1.028529412,0.082647059,0,0,0.001176471,0,0,42.2493249,40.06493708,38.26881865,40.62610936,41.58879443,41.44854828,39.34974064,38.5571605,37.62383653,33.76230511,9.11050206,11.8912966,6.191026829,2.416020541,1.473599472,1.33354888,2.259176957,8.151066854,13.12491123,13.86177219,23.75250432,26.78656432,33.29660282,21.69836882,19.13899588,14.41157957,14.01865841,17.35198667,23.93655885,33.81622623
21,X2010.20,21,0,2010,41.25810401,26.92814874,0.718529412,9.347384404,32.66489665,26.92814874,26.91828252,24.30545842,25.05022071,24.30957257,25.76065972,23.0079331,20.76337123,20.75339575,19.42479269,0.718529412,0.656470588,10.01058824,5.493235294,1.028529412,0.082647059,0,0,0.001176471,0,41.25810401,42.2493249,40.06493708,38.26881865,40.62610936,41.58879443,41.44854828,39.34974064,38.5571605,37.62383653,9.347384404,9.11050206,11.8912966,6.191026829,2.416020541,1.473599472,1.33354888,2.259176957,8.151066854,13.12491123,32.66489665,23.75250432,26.78656432,33.29660282,21.69836882,19.13899588,14.41157957,14.01865841,17.35198667,23.93655885
22,X2010.21,22,0,2010,40.87772833,27.24372582,10.58882353,11.70949796,31.92783019,27.24372582,26.92814874,26.91828252,24.30545842,25.05022071,24.30957257,25.76065972,23.0079331,20.76337123,20.75339575,10.58882353,0.718529412,0.656470588,10.01058824,5.493235294,1.028529412,0.082647059,0,0,0.001176471,40.87772833,41.25810401,42.2493249,40.06493708,38.26881865,40.62610936,41.58879443,41.44854828,39.34974064,38.5571605,11.70949796,9.347384404,9.11050206,11.8912966,6.191026829,2.416020541,1.473599472,1.33354888,2.259176957,8.151066854,31.92783019,32.66489665,23.75250432,26.78656432,33.29660282,21.69836882,19.13899588,14.41157957,14.01865841,17.35198667
