,Var.1,week,cases,year,mxtemp,mntemp,rain,soilmstre,relhum,mntemp_lag0,mntemp_lag1,mntemp_lag2,mntemp_lag3,mntemp_lag4,mntemp_lag5,mntemp_lag6,mntemp_lag7,mntemp_lag8,mntemp_lag9,rain_lag0,rain_lag1,rain_lag2,rain_lag3,rain_lag4,rain_lag5,rain_lag6,rain_lag7,rain_lag8,rain_lag9,mxtemp_lag0,mxtemp_lag1,mxtemp_lag2,mxtemp_lag3,mxtemp_lag4,mxtemp_lag5,mxtemp_lag6,mxtemp_lag7,mxtemp_lag8,mxtemp_lag9,soil_mstre_lag0,soil_mstre_lag1,soil_mstre_lag2,soil_mstre_lag3,soil_mstre_lag4,soil_mstre_lag5,soil_mstre_lag6,soil_mstre_lag7,soil_mstre_lag8,soil_mstre_lag9,rel_hum_lag0,rel_hum_lag1,rel_hum_lag2,rel_hum_lag3,rel_hum_lag4,rel_hum_lag5,rel_hum_lag6,rel_hum_lag7,rel_hum_lag8,rel_hum_lag9
11,X2010.10,11,0,2010,30.59038295,15.64695292,0.235514019,7.454391143,59.69223023,15.64695292,15.98644648,15.07139987,12.38289267,12.42218435,10.14139327,9.757647394,10.05274401,10.46320047,9.013572683,0.235514019,11.54766355,23.5728972,2.823364486,0.58317757,0,0,0.45046729,0,0,30.59038295,29.32502838,27.10503135,26.74238051,26.05659141,25.82431959,24.87645039,26.26896176,23.62185176,22.41999963,7.454391143,11.88354667,12.0409187,3.78573719,4.335885617,5.491072121,6.74101913,10.53110322,11.54855679,12.84168911,59.69223023,63.53169615,76.00331455,65.94569341,65.0606896,70.43840796,71.34877582,74.87574217,85.18562221,84.24499149
12,X2010.11,12,0,2010,31.50833939,18.52528027,17.3046729,9.887830284,61.72670016,18.52528027,15.64695292,15.98644648,15.07139987,12.38289267,12.42218435,10.14139327,9.757647394,10.05274401,10.46320047,17.3046729,0.235514019,11.54766355,23.5728972,2.823364486,0.58317757,0,0,0.45046729,0,31.50833939,30.59038295,29.32502838,27.10503135,26.74238051,26.05659141,25.82431959,24.87645039,26.26896176,23.62185176,9.887830284,7.454391143,11.88354667,12.0409187,3.78573719,4.335885617,5.491072121,6.74101913,10.53110322,11.54855679,61.72670016,59.69223023,63.53169615,76.00331455,65.94569341,65.0606896,70.43840796,71.34877582,74.87574217,85.18562221
13,X2010.12,13,0,2010,26.82843998,17.93001531,110.0420561,32.95333168,86.0332186,17.93001531,18.52528027,15.64695292,15.98644648,15.07139987,12.38289267,12.42218435,10.14139327,9.757647394,10.05274401,110.0420561,17.3046729,0.235514019,11.54766355,23.5728972,2.823364486,0.58317757,0,0,0.45046729,26.82843998,31.50833939,30.59038295,29.32502838,27.10503135,26.74238051,26.05659141,25.82431959,24.87645039,26.26896176,32.95333168,9.887830284,7.454391143,11.88354667,12.0409187,3.78573719,4.335885617,5.491072121,6.74101913,10.53110322,86.0332186,61.72670016,59.69223023,63.53169615,76.00331455,65.94569341,65.0606896,70.43840796,71.34877582,74.87574217
14,X2010.13,14,0,2010,30.44416767,19.90144364,46.78785047,32.86991036,79.59718908,19.90144364,17.93001531,18.52528027,15.64695292,15.98644648,15.07139987,12.38289267,12.42218435,10.14139327,9.757647394,46.78785047,110.0420561,17.3046729,0.235514019,11.54766355,23.5728972,2.823364486,0.58317757,0,0,30.44416767,26.82843998,31.50833939,30.59038295,29.32502838,27.10503135,26.74238051,26.05659141,25.82431959,24.87645039,32.86991036,32.95333168,9.887830284,7.454391143,11.88354667,12.0409187,3.78573719,4.335885617,5.491072121,6.74101913,79.59718908,86.0332186,61.72670016,59.69223023,63.53169615,76.00331455,65.94569341,65.0606896,70.43840796,71.34877582
15,X2010.14,15,0,2010,30.06566647,20.94089752,44.30747664,31.09695448,80.01414592,20.94089752,19.90144364,17.93001531,18.52528027,15.64695292,15.98644648,15.07139987,12.38289267,12.42218435,10.14139327,44.30747664,46.78785047,110.0420561,17.3046729,0.235514019,11.54766355,23.5728972,2.823364486,0.58317757,0,30.06566647,30.44416767,26.82843998,31.50833939,30.59038295,29.32502838,27.10503135,26.74238051,26.05659141,25.82431959,31.09695448,32.86991036,32.95333168,9.887830284,7.454391143,11.88354667,12.0409187,3.78573719,4.335885617,5.491072121,80.01414592,79.59718908,86.0332186,61.72670016,59.69223023,63.53169615,76.00331455,65.94569341,65.0606896,70.43840796
16,X2010.15,16,0,2010,27.65300984,20.33467956,168.388785,38.28502625,89.23534258,20.33467956,20.94089752,19.90144364,17.93001531,18.52528027,15.64695292,15.98644648,15.07139987,12.38289267,12.42218435,168.388785,44.30747664,46.78785047,110.0420561,17.3046729,0.235514019,11.54766355,23.5728972,2.823364486,0.58317757,27.65300984,30.06566647,30.44416767,26.82843998,31.50833939,30.59038295,29.32502838,27.10503135,26.74238051,26.05659141,38.28502625,31.09695448,32.86991036,32.95333168,9.887830284,7.454391143,11.88354667,12.0409187,3.78573719,4.335885617,89.23534258,80.01414592,79.59718908,86.0332186,61.72670016,59.69223023,63.53169615,76.00331455,65.94569341,65.0606896
17,X2010.16,17,0,2010,28.45404965,19.49297648,106.0028037,39.05537727,85.50404578,19.49297648,20.33467956,20.94089752,19.90144364,17.93001531,18.52528027,15.64695292,15.98644648,15.07139987,12.38289267,106.0028037,168.388785,44.30747664,46.78785047,110.0420561,17.3046729,0.235514019,11.54766355,23.5728972,2.823364486,28.45404965,27.65300984,30.06566647,30.44416767,26.82843998,31.50833939,30.59038295,29.32502838,27.10503135,26.74238051,39.05537727,38.28502625,31.09695448,32.86991036,32.95333168,9.887830284,7.454391143,11.88354667,12.0409187,3.78573719,85.50404578,89.23534258,80.01414592,79.59718908,86.0332186,61.72670016,59.69223023,63.53169615,76.00331455,65.94569341
18,X2010.17,18,0,2010,30.57926699,21.20695825,47.20654206,45.68583818,86.88801576,21.20695825,19.49297648,20.33467956,20.94089752,19.90144364,17.93001531,18.52528027,15.64695292,15.98644648,15.07139987,47.20654206,106.0028037,168.388785,44.30747664,46.78785047,110.0420561,17.3046729,0.235514019,11.54766355,23.5728972,30.57926699,28.45404965,27.65300984,30.06566647,30.44416767,26.82843998,31.50833939,30.59038295,29.32502838,27.10503135,45.68583818,39.05537727,38.28502625,31.09695448,32.86991036,32.95333168,9.887830284,7.454391143,11.88354667,12.0409187,86.88801576,85.50404578,89.23534258,80.01414592,79.59718908,86.0332186,61.72670016,59.69223023,63.53169615,76.00331455
19,X2010.18,19,0,2010,29.69051548,21.90087204,85.03084112,48.4213366,88.7576323,21.90087204,21.20695825,19.49297648,20.33467956,20.94089752,19.90144364,17.93001531,18.52528027,15.64695292,15.98644648,85.03084112,47.20654206,106.0028037,168.388785,44.30747664,46.78785047,110.0420561,17.3046729,0.235514019,11.54766355,29.69051548,30.57926699,28.45404965,27.65300984,30.06566647,30.44416767,26.82843998,31.50833939,30.59038295,29.32502838,48.4213366,45.68583818,39.05537727,38.28502625,31.09695448,32.86991036,32.95333168,9.887830284,7.454391143,11.88354667,88.7576323,86.88801576,85.50404578,89.23534258,80.01414592,79.59718908,86.0332186,61.72670016,59.69223023,63.53169615
20,X2010.19,20,0,2010,29.90379522,21.54630971,128.3897196,47.50044097,88.54357154,21.54630971,21.90087204,21.20695825,19.49297648,20.33467956,20.94089752,19.90144364,17.93001531,18.52528027,15.64695292,128.3897196,85.03084112,47.20654206,106.0028037,168.388785,44.30747664,46.78785047,110.0420561,17.3046729,0.235514019,29.90379522,29.69051548,30.57926699,28.45404965,27.65300984,30.06566647,30.44416767,26.82843998,31.50833939,30.59038295,47.50044097,48.4213366,45.68583818,39.05537727,38.28502625,31.09695448,32.86991036,32.95333168,9.887830284,7.454391143,88.54357154,88.7576323,86.88801576,85.50404578,89.23534258,80.01414592,79.59718908,86.0332186,61.72670016,59.69223023
